コントロールカラム,商品管理番号（商品URL）,商品名,表示先カテゴリ,優先度,URL,1ページ複数形式
"","archetype-b","【ピストバイク ホイール】エイチプラスサン   (H PLUS SON ARCHETYPE BLACK) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","ブランド\HPLUSSON","9999","http://item.rakuten.co.jp/brotures/c/0000000163/",""
"","archetype-p","【ピストバイク ホイール】エイチプラスサン   (H PLUS SON ARCHETYPE POLISH) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","パーツ\ホイール","9999","http://item.rakuten.co.jp/brotures/c/0000000131/",""
"","archetype-p","【ピストバイク ホイール】エイチプラスサン   (H PLUS SON ARCHETYPE POLISH) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","ブランド\HPLUSSON","9999","http://item.rakuten.co.jp/brotures/c/0000000163/",""
"","arione-cx-kium-b","fizik-ARIONE CX KIUMfizik 【サドル】  ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","ブランド\fizik","9999","http://item.rakuten.co.jp/brotures/c/0000000161/",""
"","arione-cx-kium-b","fizik-ARIONE CX KIUMfizik 【サドル】  ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","パーツ\サドル","9999","http://item.rakuten.co.jp/brotures/c/0000000139/",""
"","arione-cx-kium-r","fizik-ARIONE CX KIUMfizik 【サドル】  ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","ブランド\fizik","9999","http://item.rakuten.co.jp/brotures/c/0000000161/",""
"","arione-cx-kium-r","fizik-ARIONE CX KIUMfizik 【サドル】  ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","パーツ\サドル","9999","http://item.rakuten.co.jp/brotures/c/0000000139/",""
"","arione-cx-kium-w","fizik-ARIONE CX KIUMfizik 【サドル】  ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","ブランド\fizik","9999","http://item.rakuten.co.jp/brotures/c/0000000161/",""
"","arione-cx-kium-w","fizik-ARIONE CX KIUMfizik 【サドル】  ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","パーツ\サドル","9999","http://item.rakuten.co.jp/brotures/c/0000000139/",""
"","arione-kium-std","fizik ARIONE KIUM STDfizik 【サドル】  ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","ブランド\fizik","9999","http://item.rakuten.co.jp/brotures/c/0000000161/",""
"","arione-kium-std","fizik ARIONE KIUM STDfizik 【サドル】  ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","パーツ\サドル","9999","http://item.rakuten.co.jp/brotures/c/0000000139/",""
"","arione-versus-b","fizik ARIONE VERSUS KIUMfizik 【サドル】  ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","ブランド\fizik","9999","http://item.rakuten.co.jp/brotures/c/0000000161/",""
